Date : 2024-07-11 18:24:44
Directory : /Users/harishv/Documents/Code/isomer/isomer-next/isomer
Total : 616 files,  68406 codes, 1241 comments, 2985 blanks, all 72632 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| packages/components/src/templates/next/layouts/Search                                                                                                                       |          3 |        101 |          4 |         16 |        121 |
| packages/components/src/templates/next/layouts/Skeleton                                                                                                                     |          2 |         45 |          0 |          8 |         53 |
| packages/components/src/templates/next/render                                                                                                                               |          3 |        108 |          1 |          7 |        116 |
| packages/components/src/templates/next/types                                                                                                                                |          4 |         52 |          0 |         14 |         66 |
| packages/components/src/types                                                                                                                                               |          7 |        400 |          0 |         49 |        449 |
| packages/components/src/utils                                                                                                                                               |         11 |        222 |         11 |         39 |        272 |
| tooling                                                                                                                                                                     |         43 |      2,586 |         82 |        181 |      2,849 |
| tooling/build                                                                                                                                                               |          9 |      1,619 |         28 |         87 |      1,734 |
| tooling/build (Files)                                                                                                                                                       |          2 |          8 |          0 |          3 |         11 |
| tooling/build/amplify                                                                                                                                                       |          3 |      1,309 |          0 |         13 |      1,322 |
| tooling/build/scripts                                                                                                                                                       |          4 |        302 |         28 |         71 |        401 |
| tooling/eslint                                                                                                                                                              |          6 |        206 |         12 |         21 |        239 |
| tooling/github                                                                                                                                                              |          2 |         18 |          0 |          6 |         24 |
| tooling/github (Files)                                                                                                                                                      |          1 |          3 |          0 |          1 |          4 |
| tooling/github/setup                                                                                                                                                        |          1 |         15 |          0 |          5 |         20 |
| tooling/prettier                                                                                                                                                            |          3 |         59 |          4 |          4 |         67 |
| tooling/template                                                                                                                                                            |         20 |        644 |         33 |         58 |        735 |
| tooling/template (Files)                                                                                                                                                    |          8 |        125 |          7 |         17 |        149 |
| tooling/template/app                                                                                                                                                        |          5 |        201 |         26 |         34 |        261 |
| tooling/template/app (Files)                                                                                                                                                |          4 |        109 |         12 |         17 |        138 |
| tooling/template/app/[[...permalink]]                                                                                                                                       |          1 |         92 |         14 |         17 |        123 |
| tooling/template/data                                                                                                                                                       |          3 |        170 |          0 |          3 |        173 |
| tooling/template/public                                                                                                                                                     |          1 |         41 |          0 |          1 |         42 |
| tooling/template/public/images                                                                                                                                              |          1 |         41 |          0 |          1 |         42 |
| tooling/template/schema                                                                                                                                                     |          2 |        104 |          0 |          2 |        106 |
| tooling/template/styles                                                                                                                                                     |          1 |          3 |          0 |          1 |          4 |
| tooling/typescript                                                                                                                                                          |          3 |         40 |          5 |          5 |         50 |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                                                                    | language           | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/.mergify.yml                                                                                                        | YAML               |         43 |          0 |          5 |         48 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/README.md                                                                                                           | Markdown           |          7 |          0 |          6 |         13 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/.devcontainer/Dockerfile                                                                                | Docker             |          1 |          8 |          4 |         13 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/.devcontainer/devcontainer.json                                                                         | JSON with Comments |         14 |         11 |          7 |         32 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/.devcontainer/docker-compose.yml                                                                        | YAML               |         16 |          4 |          8 |         28 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/.storybook/main.ts                                                                                      | TypeScript         |         36 |          2 |         10 |         48 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/.storybook/preview.tsx                                                                                  | TypeScript JSX     |        176 |         16 |         22 |        214 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/README.md                                                                                               | Markdown           |        109 |          0 |         46 |        155 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/docker-compose.yml                                                                                      | YAML               |         14 |          0 |          3 |         17 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/eslint.config.mjs                                                                                       | JavaScript         |         30 |          5 |          2 |         37 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/next.config.mjs                                                                                         | JavaScript         |         61 |         31 |          4 |         96 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/package.json                                                                                            | JSON               |        164 |          0 |          1 |        165 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/playwright.config.ts                                                                                    | TypeScript         |         20 |          4 |          4 |         28 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/playwright/smoke.test.ts                                                                                | TypeScript         |         11 |          0 |          6 |         17 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/postcss.config.mjs                                                                                      | JavaScript         |          7 |          1 |          2 |         10 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/prisma/generate.cts                                                                                     | TypeScript         |        115 |          1 |         21 |        137 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/prisma/generated/generatedEnums.ts                                                                      | TypeScript         |          6 |          0 |          1 |          7 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/prisma/generated/generatedTypes.ts                                                                      | TypeScript         |         67 |          0 |          4 |         71 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/prisma/generated/selectableTypes.ts                                                                     | TypeScript         |         11 |          1 |          3 |         15 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/prisma/migrations/20240619034724_initial_cms_db_migration/migration.sql                                 | SQL                |         56 |         18 |         25 |         99 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/prisma/migrations/20240621081149_footer_navbar/migration.sql                                            | SQL                |         32 |         15 |         12 |         59 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/prisma/migrations/20240621081908_casing/migration.sql                                                   | SQL                |          2 |          8 |          1 |         11 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/prisma/migrations/20240624071353_update_to_blob/migration.sql                                           | SQL                |         11 |         19 |          4 |         34 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/prisma/migrations/20240624130652_drop_footer_name/migration.sql                                         | SQL                |          1 |          7 |          1 |          9 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/prisma/migrations/20240625084750_set_id_auto_increment/migration.sql                                    | SQL                |         69 |         58 |         29 |        156 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/prisma/migrations/20240701110303_revert_user_id/migration.sql                                           | SQL                |         13 |         14 |          7 |         34 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/prisma/migrations/migration_lock.toml                                                                   | TOML               |          1 |          2 |          0 |          3 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/prisma/schema.prisma                                                                                    | Prisma             |         87 |          9 |         20 |        116 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/prisma/seed.ts                                                                                          | TypeScript         |        221 |          7 |         14 |        242 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/public/assets/404.svg                                                                                   | SVG                |         90 |          0 |          1 |         91 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/public/assets/landing-banner.svg                                                                        | SVG                |         61 |          0 |          1 |         62 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/public/assets/restricted-ogp-logo-full.svg                                                              | SVG                |          8 |          0 |          1 |          9 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/public/mockServiceWorker.js                                                                             | JavaScript         |        193 |         41 |         51 |        285 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/public/vercel.svg                                                                                       | SVG                |          4 |          0 |          0 |          4 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/render.yaml                                                                                             | YAML               |         16 |          9 |          2 |         27 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/sandbox.config.json                                                                                     | JSON               |          3 |          0 |          1 |          4 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/components/AppNavbar.tsx                                                                            | TypeScript JSX     |         65 |          1 |          4 |         70 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/components/AppProviders/EnvProvider.tsx                                                             | TypeScript JSX     |         16 |          3 |          7 |         26 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/components/AppProviders/FeatureProvider.tsx                                                         | TypeScript JSX     |         34 |          9 |          8 |         51 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/components/AppProviders/index.ts                                                                    | TypeScript         |          2 |          0 |          1 |          3 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/components/AuthWrappers/EnforceLoginStatePageWrapper.tsx                                            | TypeScript JSX     |         35 |         10 |          9 |         54 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/components/AuthWrappers/PublicPageWrapper.tsx                                                       | TypeScript JSX     |         27 |          6 |          6 |         39 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/components/AuthWrappers/index.ts                                                                    | TypeScript         |          2 |          0 |          1 |          3 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/components/Avatar.tsx                                                                               | TypeScript JSX     |         17 |          0 |          3 |         20 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/components/BackBannerButton.tsx                                                                     | TypeScript JSX     |         16 |          0 |          3 |         19 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/components/BackBannerLink.tsx                                                                       | TypeScript JSX     |         20 |          0 |          3 |         23 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/components/DashSidebar.tsx                                                                          | TypeScript JSX     |        123 |          0 |          7 |        130 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/components/ErrorBoundary/DefaultFallback.tsx                                                        | TypeScript JSX     |         12 |          2 |          6 |         20 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/components/ErrorBoundary/DefaultTrpcError.tsx                                                       | TypeScript JSX     |         27 |          1 |          7 |         35 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/components/ErrorBoundary/UnexpectedErrorCard.tsx                                                    | TypeScript JSX     |          7 |          0 |          1 |          8 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/components/ErrorBoundary/index.ts                                                                   | TypeScript         |          1 |          0 |          1 |          2 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/components/FileButton.tsx                                                                           | TypeScript JSX     |        101 |         18 |         27 |        146 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/components/FullscreenSpinner.tsx                                                                    | TypeScript JSX     |         14 |          0 |          2 |         16 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/components/ImageAttachmentButton/AttachmentFileInfo.tsx                                             | TypeScript JSX     |         80 |          2 |          8 |         90 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/components/ImageAttachmentButton/ImageAttachmentButton.tsx                                          | TypeScript JSX     |         70 |          1 |          6 |         77 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/components/ImageAttachmentButton/ImageAttachmentButtonContext.tsx                                   | TypeScript JSX     |          5 |          0 |          2 |          7 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/components/ImageAttachmentButton/index.ts                                                           | TypeScript         |          1 |          0 |          1 |          2 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/components/NavigationalTabs/NavigationalTab.tsx                                                     | TypeScript JSX     |         38 |          1 |          6 |         45 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/components/NavigationalTabs/NavigationalTabList.tsx                                                 | TypeScript JSX     |         31 |          1 |          5 |         37 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/components/NavigationalTabs/index.ts                                                                | TypeScript         |          2 |          0 |          1 |          3 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/components/PageEditor/ComponentSelector.tsx                                                         | TypeScript JSX     |        243 |          1 |          8 |        252 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/components/PageEditor/MenuBar.tsx                                                                   | TypeScript JSX     |        456 |         13 |         18 |        487 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/components/PageEditor/MenuItem.tsx                                                                  | TypeScript JSX     |         67 |          0 |          3 |         70 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/components/PageEditor/types.ts                                                                      | TypeScript         |         20 |          0 |          2 |         22 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/components/ResponsiveButton.tsx                                                                     | TypeScript JSX     |         10 |          0 |          3 |         13 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/components/ResponsiveModal.tsx                                                                      | TypeScript JSX     |         24 |          0 |          5 |         29 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/components/ResponsiveModalButtonGroup.tsx                                                           | TypeScript JSX     |         17 |          0 |          2 |         19 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/components/RestrictedMiniFooter.tsx                                                                 | TypeScript JSX     |         28 |          0 |          2 |         30 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/components/RichText/RichText.tsx                                                                    | TypeScript JSX     |        148 |         11 |         13 |        172 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/components/RichText/RichTextMenu.tsx                                                                | TypeScript JSX     |        187 |          6 |          8 |        201 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/components/RichText/constants.tsx                                                                   | TypeScript JSX     |         75 |          0 |          1 |         76 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/components/RichText/index.ts                                                                        | TypeScript         |          1 |          0 |          1 |          2 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/components/Suspense.tsx                                                                             | TypeScript JSX     |         16 |          4 |          4 |         24 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/components/Svg/BusStop.tsx                                                                          | TypeScript JSX     |        135 |          0 |          2 |        137 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/components/Svg/OgpLogo.tsx                                                                          | TypeScript JSX     |         22 |          0 |          3 |         25 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/components/Svg/SingpassFullLogo.tsx                                                                 | TypeScript JSX     |         26 |          0 |          3 |         29 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/components/Svg/index.ts                                                                             | TypeScript         |          2 |          0 |          1 |          3 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/components/Tiptap.tsx                                                                               | TypeScript JSX     |         95 |          0 |          7 |        102 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/components/VersionWrapper/VersionBanner.tsx                                                         | TypeScript JSX     |          8 |          0 |          2 |         10 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/components/VersionWrapper/VersionModal.tsx                                                          | TypeScript JSX     |         49 |          0 |          5 |         54 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/components/VersionWrapper/VersionWrapper.tsx                                                        | TypeScript JSX     |         27 |          0 |          8 |         35 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/components/VersionWrapper/index.ts                                                                  | TypeScript         |          1 |          0 |          1 |          2 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/constants/formBuilder.ts                                                                            | TypeScript         |         14 |          1 |          1 |         16 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/constants/layouts.ts                                                                                | TypeScript         |         16 |          0 |          4 |         20 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/constants/localStorage.ts                                                                           | TypeScript         |          2 |         10 |          2 |         14 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/constants/params.ts                                                                                 | TypeScript         |          1 |          0 |          1 |          2 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/constants/version.ts                                                                                | TypeScript         |          2 |          0 |          2 |          4 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/contexts/EditorDrawerContext.tsx                                                                    | TypeScript JSX     |         52 |          2 |          9 |         63 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/env.mjs                                                                                             | JavaScript         |        166 |         37 |         16 |        219 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/features/auth/LoginStateContext.tsx                                                                 | TypeScript JSX     |         46 |          8 |         11 |         65 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/features/auth/index.ts                                                                              | TypeScript         |          1 |          0 |          1 |          2 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/features/dashboard/DashboardTable.tsx                                                               | TypeScript JSX     |        226 |          1 |          9 |        236 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/features/editing-experience/components/ComplexEditorStateDrawer.tsx                                 | TypeScript JSX     |         10 |          0 |          3 |         13 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/features/editing-experience/components/EditPageDrawer.tsx                                           | TypeScript JSX     |         24 |          0 |          5 |         29 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/features/editing-experience/components/LayoutSelection.stories.tsx                                  | TypeScript JSX     |         16 |          0 |          4 |         20 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/features/editing-experience/components/LayoutSelection.tsx                                          | TypeScript JSX     |        235 |          8 |          9 |        252 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/features/editing-experience/components/PageCreateModal.stories.tsx                                  | TypeScript JSX     |         24 |          0 |          6 |         30 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/features/editing-experience/components/PageCreateModal.tsx                                          | TypeScript JSX     |        202 |         18 |         18 |        238 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/features/editing-experience/components/Preview.tsx                                                  | TypeScript JSX     |         29 |          3 |          4 |         36 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/features/editing-experience/components/RootStateDrawer.tsx                                          | TypeScript JSX     |        121 |          6 |          8 |        135 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/features/editing-experience/components/TipTapComponent.tsx                                          | TypeScript JSX     |        171 |          7 |          8 |        186 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/features/editing-experience/components/extensions/Table.tsx                                         | TypeScript JSX     |         30 |          1 |          6 |         37 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/features/editing-experience/components/form-builder/FormBuilder.tsx                                 | TypeScript JSX     |         76 |          0 |          6 |         82 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/features/editing-experience/components/form-builder/renderers/controls/JsonFormsAllOfControl.tsx    | TypeScript JSX     |         46 |          0 |          6 |         52 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/features/editing-experience/components/form-builder/renderers/controls/JsonFormsAnyOfControl.tsx    | TypeScript JSX     |         67 |          0 |          9 |         76 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/features/editing-experience/components/form-builder/renderers/controls/JsonFormsArrayControl.tsx    | TypeScript JSX     |         39 |          0 |          7 |         46 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/features/editing-experience/components/form-builder/renderers/controls/JsonFormsBooleanControl.tsx  | TypeScript JSX     |         42 |          0 |          5 |         47 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/features/editing-experience/components/form-builder/renderers/controls/JsonFormsDropdownControl.tsx | TypeScript JSX     |         52 |          0 |          8 |         60 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/features/editing-experience/components/form-builder/renderers/controls/JsonFormsIntegerControl.tsx  | TypeScript JSX     |         78 |          0 |          6 |         84 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/features/editing-experience/components/form-builder/renderers/controls/JsonFormsObjectControl.tsx   | TypeScript JSX     |         58 |          0 |          7 |         65 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/features/editing-experience/components/form-builder/renderers/controls/JsonFormsProseControl.tsx    | TypeScript JSX     |         34 |          1 |          5 |         40 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/features/editing-experience/components/form-builder/renderers/controls/JsonFormsRadioControl.tsx    | TypeScript JSX     |         49 |          0 |          6 |         55 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/features/editing-experience/components/form-builder/renderers/controls/JsonFormsTextControl.tsx     | TypeScript JSX     |         33 |          0 |          5 |         38 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/features/editing-experience/components/form-builder/renderers/controls/index.ts                     | TypeScript         |         40 |          0 |          1 |         41 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/features/editing-experience/components/form-builder/renderers/index.ts                              | TypeScript         |          2 |          0 |          1 |          3 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/features/editing-experience/components/form-builder/renderers/layouts/JsonFormsGroupLayout.tsx      | TypeScript JSX     |         74 |          3 |          8 |         85 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/features/editing-experience/components/form-builder/renderers/layouts/JsonFormsVerticalLayout.tsx   | TypeScript JSX     |         94 |          5 |         18 |        117 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/features/editing-experience/components/form-builder/renderers/layouts/index.ts                      | TypeScript         |          8 |          0 |          1 |          9 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/features/editing-experience/data/articleLayoutPreview.json                                          | JSON               |         60 |          0 |          1 |         61 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/features/editing-experience/data/contentLayoutPreview.json                                          | JSON               |        162 |          0 |          1 |        163 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/features/editing-experience/data/footer.json                                                        | JSON               |         64 |          0 |          1 |         65 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/features/editing-experience/data/navbar.json                                                        | JSON               |         86 |          0 |          1 |         87 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/features/editing-experience/data/placeholder.json                                                   | JSON               |         56 |          0 |          1 |         57 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/features/editing-experience/utils.ts                                                                | TypeScript         |          1 |          0 |          1 |          2 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/features/landing/components/AppPublicHeader.tsx                                                     | TypeScript JSX     |         81 |          1 |          9 |         91 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/features/landing/components/FeatureGridItem.tsx                                                     | TypeScript JSX     |         23 |          0 |          3 |         26 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/features/landing/components/FeatureSection.tsx                                                      | TypeScript JSX     |         41 |          0 |          4 |         45 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/features/landing/components/LandingSection.tsx                                                      | TypeScript JSX     |         19 |          0 |          3 |         22 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/features/landing/components/SectionBodyText.tsx                                                     | TypeScript JSX     |         14 |          0 |          3 |         17 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/features/landing/components/SectionHeadingText.tsx                                                  | TypeScript JSX     |         11 |          0 |          2 |         13 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/features/landing/components/index.ts                                                                | TypeScript         |          6 |          0 |          1 |          7 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/features/me/api/index.ts                                                                            | TypeScript         |          1 |          0 |          1 |          2 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/features/me/api/useMe.ts                                                                            | TypeScript         |         23 |          0 |          6 |         29 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/features/sign-in/components/EmailLogin/EmailLoginButton.tsx                                         | TypeScript JSX     |         16 |          0 |          4 |         20 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/features/sign-in/components/EmailLogin/EmailLoginForm.tsx                                           | TypeScript JSX     |         18 |          0 |          6 |         24 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/features/sign-in/components/EmailLogin/Emailnput.tsx                                                | TypeScript JSX     |         69 |          0 |          9 |         78 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/features/sign-in/components/EmailLogin/ResendOtpButton.tsx                                          | TypeScript JSX     |         19 |          0 |          3 |         22 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/features/sign-in/components/EmailLogin/VerificationInput.tsx                                        | TypeScript JSX     |        162 |          5 |         12 |        179 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/features/sign-in/components/EmailLogin/index.ts                                                     | TypeScript         |          2 |          0 |          1 |          3 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/features/sign-in/components/GridLayout.tsx                                                          | TypeScript JSX     |         59 |          5 |          7 |         71 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/features/sign-in/components/LoginImageSvgr.tsx                                                      | TypeScript JSX     |        686 |          0 |          2 |        688 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/features/sign-in/components/LoginStep/CurrentLoginStep.tsx                                          | TypeScript JSX     |         21 |          1 |          5 |         27 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/features/sign-in/components/LoginStep/EmailLoginStep.tsx                                            | TypeScript JSX     |         21 |          0 |          4 |         25 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/features/sign-in/components/LoginStep/InitialLoginStep.tsx                                          | TypeScript JSX     |         26 |          0 |          4 |         30 |
| /Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/features/sign-in/components/LoginStep/index.ts                                                      | TypeScript         |          1 |          0 |          1 |          2 |
